type,year,counts
State prisons,1925,85239
State prisons,1926,91188
State prisons,1927,101624
State prisons,1928,108157
State prisons,1929,107532
State prisons,1930,117268
State prisons,1931,124118
State prisons,1932,125721
State prisons,1933,125962
State prisons,1934,126258
State prisons,1935,129418
State prisons,1936,129664
State prisons,1937,137432
State prisons,1938,143152
State prisons,1939,160088
State prisons,1940,154446
State prisons,1941,146974
State prisons,1942,133761
State prisons,1943,121107
State prisons,1944,114317
State prisons,1945,115011
State prisons,1946,122457
State prisons,1947,134158
State prisons,1948,139649
State prisons,1949,146881
State prisons,1950,149031
State prisons,1951,148285
State prisons,1952,150219
State prisons,1953,154216
State prisons,1954,162898
State prisons,1955,165692
State prisons,1956,169431
State prisons,1957,174836
State prisons,1958,184094
State prisons,1959,185613
State prisons,1960,189735
State prisons,1961,196453
State prisons,1962,194886
State prisons,1963,194155
State prisons,1964,192627
State prisons,1965,189855
State prisons,1966,180409
State prisons,1967,175317
State prisons,1968,167571
State prisons,1969,177513
State prisons,1970,176403
State prisons,1971,177113
State prisons,1972,174379
State prisons,1973,181396
State prisons,1974,196105
State prisons,1975,216462
State prisons,1976,235853
State prisons,1977,247507
State prisons,1978,268005
State prisons,1979,278882
State prisons,1980,295353
State prisons,1981,331504
State prisons,1982,371864
State prisons,1983,393015
State prisons,1984,415796
State prisons,1985,447873
State prisons,1986,485553
State prisons,1987,521289
State prisons,1988,560994
State prisons,1989,633739
State prisons,1990,689577
State prisons,1991,732916
State prisons,1992,780571
State prisons,1993,857675
State prisons,1994,936896
State prisons,1995,1001359
State prisons,1996,1048907
State prisons,1997,1099347
State prisons,1998,1152792
State prisons,1999,1189806
State prisons,2000,1209130
State prisons,2001,1208708
State prisons,2002,1237476
State prisons,2003,1256442
State prisons,2004,1274591
State prisons,2005,1296693
State prisons,2006,1331065
State prisons,2007,1353647
State prisons,2008,1365409
State prisons,2009,1365688
State prisons,2010,1362028
State prisons,2011,1341797
State prisons,2012,1315856
State prisons,2013,1325305
State prisons,2014,1316407
State prisons,2015,1298159
State prisons,2016,1286691
Federal prisons,1925,6430
Federal prisons,1926,6803
Federal prisons,1927,7722
Federal prisons,1928,8233
Federal prisons,1929,12964
Federal prisons,1930,12185
Federal prisons,1931,12964
Federal prisons,1932,12276
Federal prisons,1933,10848
Federal prisons,1934,12058
Federal prisons,1935,14762
Federal prisons,1936,15374
Federal prisons,1937,15309
Federal prisons,1938,17133
Federal prisons,1939,19730
Federal prisons,1940,19260
Federal prisons,1941,18465
Federal prisons,1942,16623
Federal prisons,1943,16113
Federal prisons,1944,18139
Federal prisons,1945,18638
Federal prisons,1946,17622
Federal prisons,1947,17146
Federal prisons,1948,16328
Federal prisons,1949,16868
Federal prisons,1950,17134
Federal prisons,1951,17395
Federal prisons,1952,18014
Federal prisons,1953,19363
Federal prisons,1954,20003
Federal prisons,1955,20088
Federal prisons,1956,20134
Federal prisons,1957,20420
Federal prisons,1958,21549
Federal prisons,1959,22492
Federal prisons,1960,23218
Federal prisons,1961,23696
Federal prisons,1962,23944
Federal prisons,1963,23128
Federal prisons,1964,21709
Federal prisons,1965,21040
Federal prisons,1966,19245
Federal prisons,1967,19579
Federal prisons,1968,19703
Federal prisons,1969,19623
Federal prisons,1970,20038
Federal prisons,1971,20948
