id,employed,happy
1,0,0
2,1,0
3,1,0
4,1,1
5,1,1
6,1,1
7,1,1
8,0,0
9,1,1
10,1,1
11,0,0
12,1,1
13,0,1
14,1,1
15,1,0
16,1,1
17,0,1
18,0,1
19,0,1
20,1,0
21,1,0
22,0,1
23,0,1
24,1,1
25,1,0
26,0,1
27,1,1
28,0,1
29,0,0
30,1,0
31,1,1
32,1,0
33,1,0
34,0,0
35,1,1
36,0,1
37,0,0
38,0,1
39,0,0
40,1,0
41,0,0
42,1,1
43,1,1
44,1,0
45,1,1
46,1,1
47,1,0
48,1,0
49,1,0
50,1,1
51,1,0
52,1,1
53,1,0
54,0,0
55,1,1
56,1,0
57,1,1
58,1,1
59,1,1
60,1,1
61,1,0
62,1,0
63,1,1
64,1,1
65,1,1
66,1,0
67,1,0
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,0,0
76,1,1
77,1,0
78,1,0
79,0,0
80,0,1
81,1,0
82,1,0
83,0,1
84,0,0
85,1,1
86,1,0
87,1,1
88,1,0
89,1,0
90,1,1
91,1,0
92,0,0
93,1,1
94,1,1
95,1,1
96,0,0
97,0,1
98,1,1
99,1,1
100,1,0
