state,year,population
AK,2003,478640
AL,2003,3780480
AR,2003,2140020
AZ,2003,4280840
CA,2003,27970460
CO,2003,3641860
CT,2003,2839520
DC,2003,501660
DE,2003,677900
FL,2003,15394060
GA,2003,7111640
HI,2003,982360
IA,2003,2331500
ID,2003,1072180
IL,2003,9953540
IN,2003,5094860
KS,2003,2159840
KY,2003,3397080
LA,2003,3688940
MA,2003,5124520
MD,2003,4588400
ME,2003,1057440
MI,2003,8058680
MN,2003,3956200
MO,2003,4672640
MS,2003,2351560
MT,2003,752620
NC,2003,7130560
ND,2003,501960
NE,2003,1334800
NH,2003,1045580
NJ,2003,6927380
NM,2003,1480460
NV,2003,1871520
NY,2003,14657240
OH,2003,9710580
OK,2003,2905560
OR,2003,2987520
PA,2003,10221720
PR,2003,2771260
RI,2003,840320
SC,2003,3462520
SD,2003,604240
TN,2003,4792020
TX,2003,17328080
UT,2003,1756240
VA,2003,6122520
VT,2003,485140
WA,2003,5044880
WI,2003,4198660
WV,2003,1550100
WY,2003,409660
AK,2004,492740
AL,2004,3778600
AR,2004,2172680
AZ,2004,4372960
CA,2004,27927720
CO,2004,3683380
CT,2004,2859120
DC,2004,492780
DE,2004,691380
FL,2004,15496280
GA,2004,7165920
HI,2004,995760
IA,2004,2338500
ID,2004,1094000
IL,2004,9868160
IN,2004,5100980
KS,2004,2169280
KY,2004,3396040
LA,2004,3701500
MA,2004,5138580
MD,2004,4595700
ME,2004,1073080
MI,2004,8083460
MN,2004,4017480
MO,2004,4703320
MS,2004,2359480
MT,2004,755380
NC,2004,7148580
ND,2004,501380
NE,2004,1348780
NH,2004,1056300
NJ,2004,6945540
NM,2004,1480520
NV,2004,1919080
NY,2004,14549760
OH,2004,9648380
OK,2004,2900720
OR,2004,3000120
PA,2004,10259480
PR,2004,2848740
RI,2004,838080
SC,2004,3514420
SD,2004,599580
TN,2004,4803540
TX,2004,17660360
UT,2004,1783560
VA,2004,6181920
VT,2004,490940
WA,2004,5114300
WI,2004,4256820
WV,2004,1532680
WY,2004,408220
AK,2005,497340
AL,2005,3844180
AR,2005,2218480
AZ,2005,4512140
CA,2005,28151100
CO,2005,3751240
CT,2005,2892560
DC,2005,502660
DE,2005,711100
FL,2005,15869360
GA,2005,7332940
HI,2005,1013460
IA,2005,2366380
ID,2005,1126700
IL,2005,9963420
IN,2005,5154700
KS,2005,2185700
KY,2005,3426920
LA,2005,3695000
MA,2005,5187980
MD,2005,4719020
ME,2005,1084540
MI,2005,8161020
MN,2005,4063360
MO,2005,4758260
MS,2005,2380980
MT,2005,771100
NC,2005,7267280
ND,2005,503480
NE,2005,1359660
NH,2005,1070800
NJ,2005,7032200
NM,2005,1500280
NV,2005,1989980
NY,2005,14704160
OH,2005,9741400
OK,2005,2927500
OR,2005,3059380
PA,2005,10382340
PR,2005,2845420
RI,2005,840240
SC,2005,3593280
SD,2005,606000
TN,2005,4921340
TX,2005,17951040
UT,2005,1820980
VA,2005,6340560
VT,2005,498040
WA,2005,5226100
WI,2005,4332720
WV,2005,1572120
WY,2005,415500
AK,2006,502840
AL,2006,3848160
AR,2006,2235720
AZ,2006,4608000
CA,2006,28233360
CO,2006,3800100
CT,2006,2902260
DC,2006,493660
DE,2006,712580
FL,2006,15997140
GA,2006,7473980
HI,2006,1020960
IA,2006,2366800
ID,2006,1143460
IL,2006,9969520
IN,2006,5153240
KS,2006,2188800
KY,2006,3430960
LA,2006,3654320
MA,2006,5210720
MD,2006,4682820
ME,2006,1093300
MI,2006,8166300
MN,2006,4108340
MO,2006,4801360
MS,2006,2374160
MT,2006,773000
NC,2006,7363280
ND,2006,505580
NE,2006,1361780
NH,2006,1079000
NJ,2006,7065320
NM,2006,1512900
NV,2006,2054320
NY,2006,14681640
OH,2006,9716500
OK,2006,2937340
OR,2006,3084200
PA,2006,10413160
PR,2006,2863040
RI,2006,846520
SC,2006,3648980
SD,2006,612960
TN,2006,4999120
TX,2006,18307640
UT,2006,1852860
VA,2006,6347240
VT,2006,500580
WA,2006,5293920
WI,2006,4365220
WV,2006,1557060
WY,2006,418000
AK,2007,499840
AL,2007,3793720
AR,2007,2206800
AZ,2007,4658880
CA,2007,28153600
CO,2007,3803380
CT,2007,2894200
DC,2007,497160
DE,2007,716200
FL,2007,15849860
GA,2007,7361840
HI,2007,1020540
IA,2007,2366800
ID,2007,1151040
IL,2007,9937980
IN,2007,5108680
KS,2007,2167680
KY,2007,3392060
LA,2007,3592200
MA,2007,5244180
MD,2007,4668180
ME,2007,1097320
MI,2007,8110560
MN,2007,4118060
MO,2007,4748040
MS,2007,2313920
MT,2007,771140
NC,2007,7256360
ND,2007,509000
NE,2007,1364480
NH,2007,1083320
NJ,2007,7033700
NM,2007,1501280
NV,2007,2053000
NY,2007,14658940
OH,2007,9626900
OK,2007,2893300
OR,2007,3092240
PA,2007,10398160
PR,2007,2826400
RI,2007,844960
SC,2007,3628600
SD,2007,616120
TN,2007,4982560
TX,2007,18050580
UT,2007,1865740
VA,2007,6318520
VT,2007,500460
WA,2007,5300560
WI,2007,4357780
WV,2007,1529980
WY,2007,420840
AK,2008,497080
AL,2008,3717120
AR,2008,2169600
AZ,2008,4623400
CA,2008,27591200
CO,2008,3760480
CT,2008,2846860
DC,2008,480180
DE,2008,707500
FL,2008,15509940
GA,2008,7274920
HI,2008,1016560
IA,2008,2344380
ID,2008,1150060
IL,2008,9796560
IN,2008,5011660
KS,2008,2131040
KY,2008,3334320
LA,2008,3497140
MA,2008,5204800
MD,2008,4595040
ME,2008,1086340
MI,2008,7938420
MN,2008,4084800
MO,2008,4675160
MS,2008,2264880
MT,2008,770200
NC,2008,7183780
ND,2008,506920
NE,2008,1356100
NH,2008,1076780
NJ,2008,6952360
NM,2008,1486960
NV,2008,2027740
NY,2008,14525080
OH,2008,9428460
OK,2008,2832000
OR,2008,3052340
PA,2008,10235320
PR,2008,2836460
RI,2008,832540
SC,2008,3576900
SD,2008,611380
TN,2008,4924420
TX,2008,17741640
UT,2008,1865860
VA,2008,6274480
VT,2008,495580
WA,2008,5271280
WI,2008,4311200
WV,2008,1503780
WY,2008,420820
AK,2009,503360
AL,2009,3709680
AR,2009,2173060
AZ,2009,4641760
CA,2009,27532660
CO,2009,3803880
CT,2009,2819160
DC,2009,478440
DE,2009,709220
FL,2009,15410360
GA,2009,7264520
HI,2009,1016220
IA,2009,2363120
ID,2009,1156200
IL,2009,9793640
IN,2009,5015800
KS,2009,2134500
KY,2009,3336160
LA,2009,3482960
MA,2009,5179960
MD,2009,4583480
ME,2009,1085060
MI,2009,7929220
MN,2009,4110940
MO,2009,4677300
MS,2009,2267160
MT,2009,777100
NC,2009,7185100
ND,2009,513120
NE,2009,1362080
NH,2009,1075780
NJ,2009,6909920
NM,2009,1497420
NV,2009,2031060
NY,2009,14440160
OH,2009,9401800
OK,2009,2844020
OR,2009,3061160
PA,2009,10215080
PR,2009,2794620
RI,2009,824700
SC,2009,3590440
SD,2009,616360
TN,2009,4924460
TX,2009,17817040
UT,2009,1889480
VA,2009,6292060
VT,2009,495860
WA,2009,5281460
WI,2009,4338040
WV,2009,1495420
WY,2009,424480
AK,2010,510780
AL,2010,3723400
AR,2010,2184720
AZ,2010,4680620
CA,2010,27652160
CO,2010,3847460
