state,year,population
AK,2003,478640
AK,2004,492740
AK,2005,497340
AK,2006,502840
AK,2007,499840
AK,2008,497080
AK,2009,503360
AK,2010,510780
AK,2011,511740
AK,2012,512700
AK,2013,544100
AK,2014,548900
AK,2015,552420
AK,2016,554580
AK,2017,549520
AK,2018,549040
AL,2003,3780480
AL,2004,3778600
AL,2005,3844180
AL,2006,3848160
AL,2007,3793720
AL,2008,3717120
AL,2009,3709680
AL,2010,3723400
AL,2011,3726320
AL,2012,3724580
AL,2013,3927960
AL,2014,3985360
AL,2015,4044500
AL,2016,4123100
AL,2017,4124980
AL,2018,4147580
AR,2003,2140020
AR,2004,2172680
AR,2005,2218480
AR,2006,2235720
AR,2007,2206800
AR,2008,2169600
AR,2009,2173060
AR,2010,2184720
AR,2011,2180800
AR,2012,2168020
AR,2013,2285040
AR,2014,2322720
AR,2015,2347720
AR,2016,2388520
AR,2017,2385160
AR,2018,2398980
AZ,2003,4280840
AZ,2004,4372960
AZ,2005,4512140
AZ,2006,4608000
AZ,2007,4658880
AZ,2008,4623400
AZ,2009,4641760
AZ,2010,4680620
AZ,2011,4694640
AZ,2012,4700320
AZ,2013,4968360
AZ,2014,5079940
AZ,2015,5183100
AZ,2016,5309640
AZ,2017,5378240
AZ,2018,5475560
CA,2003,27970460
CA,2004,27927720
CA,2005,28151100
CA,2006,28233360
CA,2007,28153600
CA,2008,27591200
CA,2009,27532660
CA,2010,27652160
CA,2011,27628360
CA,2012,27657260
CA,2013,29101220
CA,2014,29755140
CA,2015,30273560
CA,2016,30933740
CA,2017,31228960
CA,2018,31328140
CO,2003,3641860
CO,2004,3683380
CO,2005,3751240
CO,2006,3800100
CO,2007,3803380
CO,2008,3760480
CO,2009,3803880
CO,2010,3847460
CO,2011,3872000
CO,2012,3896400
CO,2013,4132820
CO,2014,4216660
CO,2015,4302820
CO,2016,4396980
CO,2017,4443240
CO,2018,4489020
CT,2003,2839520
CT,2004,2859120
CT,2005,2892560
CT,2006,2902260
CT,2007,2894200
CT,2008,2846860
CT,2009,2819160
CT,2010,2835460
CT,2011,2824840
CT,2012,2815700
CT,2013,2935960
CT,2014,2991240
CT,2015,3008180
CT,2016,3043040
CT,2017,3049080
CT,2018,3046340
DC,2003,501660
DC,2004,492780
DC,2005,502660
DC,2006,493660
DC,2007,497160
DC,2008,480180
DC,2009,478440
DC,2010,483900
DC,2011,483640
DC,2012,486060
DC,2013,520440
DC,2014,531120
DC,2015,541600
DC,2016,553760
DC,2017,551420
DC,2018,553340
DE,2003,677900
DE,2004,691380
DE,2005,711100
DE,2006,712580
DE,2007,716200
DE,2008,707500
DE,2009,709220
DE,2010,714980
DE,2011,716200
DE,2012,720540
DE,2013,761880
DE,2014,771760
DE,2015,781940
DE,2016,795020
DE,2017,799020
DE,2018,813000
FL,2003,15394060
FL,2004,15496280
FL,2005,15869360
FL,2006,15997140
FL,2007,15849860
FL,2008,15509940
FL,2009,15410360
FL,2010,15492260
FL,2011,15524300
FL,2012,15560040
FL,2013,16587060
FL,2014,16884160
FL,2015,17336360
FL,2016,17787580
FL,2017,17998500
FL,2018,18291380
GA,2003,7111640
GA,2004,7165920
GA,2005,7332940
GA,2006,7473980
GA,2007,7361840
GA,2008,7274920
GA,2009,7264520
GA,2010,7322180
GA,2011,7336840
GA,2012,7358920
GA,2013,7848060
GA,2014,8004980
GA,2015,8165860
GA,2016,8363800
GA,2017,8419700
GA,2018,8458360
HI,2003,982360
HI,2004,995760
HI,2005,1013460
HI,2006,1020960
HI,2007,1020540
HI,2008,1016560
HI,2009,1016220
HI,2010,1022660
HI,2011,1019300
HI,2012,1015540
HI,2013,1057500
HI,2014,1075160
HI,2015,1082720
HI,2016,1095820
HI,2017,1103340
HI,2018,1110100
IA,2003,2331500
IA,2004,2338500
IA,2005,2366380
IA,2006,2366800
IA,2007,2366800
IA,2008,2344380
IA,2009,2363120
IA,2010,2376740
IA,2011,2370580
IA,2012,2370860
IA,2013,2477360
IA,2014,2506600
IA,2015,2528020
IA,2016,2554700
IA,2017,2575740
IA,2018,2583860
ID,2003,1072180
ID,2004,1094000
ID,2005,1126700
ID,2006,1143460
ID,2007,1151040
ID,2008,1150060
ID,2009,1156200
ID,2010,1166680
ID,2011,1171060
ID,2012,1175320
ID,2013,1234460
ID,2014,1258000
ID,2015,1282560
ID,2016,1316800
ID,2017,1346860
ID,2018,1379120
IL,2003,9953540
IL,2004,9868160
IL,2005,9963420
IL,2006,9969520
IL,2007,9937980
IL,2008,9796560
IL,2009,9793640
IL,2010,9814700
IL,2011,9765900
IL,2012,9682480
IL,2013,10209900
IL,2014,10345780
IL,2015,10458900
IL,2016,10517100
IL,2017,10526580
IL,2018,10503020
IN,2003,5094860
IN,2004,5100980
IN,2005,5154700
IN,2006,5153240
IN,2007,5108680
IN,2008,5011660
IN,2009,5015800
IN,2010,5017140
IN,2011,4994820
IN,2012,4976320
IN,2013,5223700
IN,2014,5294500
IN,2015,5355800
IN,2016,5450560
IN,2017,5454880
IN,2018,5491840
KS,2003,2159840
KS,2004,2169280
KS,2005,2185700
KS,2006,2188800
KS,2007,2167680
KS,2008,2131040
KS,2009,2134500
KS,2010,2140900
KS,2011,2135780
KS,2012,2128760
KS,2013,2233880
KS,2014,2267920
KS,2015,2283360
KS,2016,2322540
KS,2017,2321580
KS,2018,2323760
KY,2003,3397080
KY,2004,3396040
KY,2005,3426920
KY,2006,3430960
KY,2007,3392060
KY,2008,3334320
KY,2009,3336160
KY,2010,3359320
KY,2011,3356820
KY,2012,3350940
KY,2013,3533460
KY,2014,3569540
KY,2015,3602960
KY,2016,3684500
KY,2017,3675160
KY,2018,3681600
LA,2003,3688940
LA,2004,3701500
LA,2005,3695000
LA,2006,3654320
LA,2007,3592200
LA,2008,3497140
LA,2009,3482960
LA,2010,3499580
LA,2011,3492720
LA,2012,3485660
LA,2013,3678100
LA,2014,3727800
LA,2015,3768000
LA,2016,3827680
LA,2017,3826080
LA,2018,3814500
MA,2003,5124520
MA,2004,5138580
MA,2005,5187980
MA,2006,5210720
MA,2007,5244180
MA,2008,5204800
MA,2009,5179960
MA,2010,5204540
MA,2011,5192360
MA,2012,5186340
MA,2013,5396200
MA,2014,5515180
MA,2015,5536660
MA,2016,5631420
MA,2017,5675700
MA,2018,5722580
MD,2003,4588400
MD,2004,4595700
MD,2005,4719020
MD,2006,4682820
MD,2007,4668180
MD,2008,4595040
MD,2009,4583480
MD,2010,4616720
MD,2011,4615460
MD,2012,4608000
MD,2013,4853640
MD,2014,4911200
MD,2015,4969400
MD,2016,5046020
MD,2017,5062440
MD,2018,5087280
ME,2003,1057440
ME,2004,1073080
ME,2005,1084540
ME,2006,1093300
ME,2007,1097320
ME,2008,1086340
ME,2009,1085060
ME,2010,1090760
ME,2011,1088580
ME,2012,1087860
ME,2013,1136120
ME,2014,1147040
ME,2015,1154660
ME,2016,1168800
ME,2017,1186380
ME,2018,1195320
MI,2003,8058680
MI,2004,8083460
MI,2005,8161020
MI,2006,8166300
MI,2007,8110560
MI,2008,7938420
MI,2009,7929220
MI,2010,7954420
MI,2011,7924500
MI,2012,7917040
MI,2013,8282600
MI,2014,8368560
MI,2015,8461060
MI,2016,8437240
MI,2017,8452040
MI,2018,8468160
MN,2003,3956200
MN,2004,4017480
MN,2005,4063360
MN,2006,4108340
MN,2007,4118060
MN,2008,4084800
MN,2009,4110940
MN,2010,4139020
MN,2011,4139860
MN,2012,4150220
MN,2013,4327900
MN,2014,4390460
MN,2015,4434960
MN,2016,4490560
MN,2017,4523120
MN,2018,4553740
MO,2003,4672640
MO,2004,4703320
MO,2005,4758260
MO,2006,4801360
MO,2007,4748040
MO,2008,4675160
MO,2009,4677300
MO,2010,4698280
MO,2011,4689760
MO,2012,4681100
MO,2013,4910400
MO,2014,4955020
MO,2015,4997780
MO,2016,5069180
MO,2017,5074060
MO,2018,5086360
MS,2003,2351560
MS,2004,2359480
MS,2005,2380980
MS,2006,2374160
MS,2007,2313920
MS,2008,2264880
MS,2009,2267160
MS,2010,2274380
MS,2011,2262860
MS,2012,2249320
MS,2013,2386360
MS,2014,2409240
MS,2015,2416860
MS,2016,2434820
MS,2017,2426060
MS,2018,2418420
MT,2003,752620
MT,2004,755380
MT,2005,771100
MT,2006,773000
MT,2007,771140
MT,2008,770200
MT,2009,777100
MT,2010,781000
MT,2011,782040
MT,2012,781040
MT,2013,817540
MT,2014,831660
MT,2015,843000
MT,2016,858980
MT,2017,867560
MT,2018,874960
NC,2003,7130560
NC,2004,7148580
NC,2005,7267280
NC,2006,7363280
NC,2007,7256360
NC,2008,7183780
NC,2009,7185100
NC,2010,7235900
NC,2011,7240060
NC,2012,7253720
NC,2013,7693500
NC,2014,7867840
NC,2015,8017920
NC,2016,8213660
NC,2017,8289440
NC,2018,8390520
ND,2003,501960
ND,2004,501380
ND,2005,503480
ND,2006,505580
ND,2007,509000
ND,2008,506920
ND,2009,513120
ND,2010,519460
ND,2011,524140
ND,2012,532500
ND,2013,560040
ND,2014,575880
ND,2015,587940
ND,2016,596300
ND,2017,599320
ND,2018,603720
NE,2003,1334800
NE,2004,1348780
NE,2005,1359660
NE,2006,1361780
NE,2007,1364480
NE,2008,1356100
NE,2009,1362080
NE,2010,1371200
NE,2011,1370760
NE,2012,1368920
NE,2013,1432300
NE,2014,1456880
NE,2015,1469480
NE,2016,1492460
NE,2017,1504000
NE,2018,1515560
NH,2003,1045580
NH,2004,1056300
NH,2005,1070800
NH,2006,1079000
NH,2007,1083320
NH,2008,1076780
NH,2009,1075780
NH,2010,1084800
NH,2011,1083860
NH,2012,1084680
NH,2013,1123660
NH,2014,1144120
NH,2015,1153100
NH,2016,1168220
NH,2017,1181920
NH,2018,1191840
NJ,2003,6927380
NJ,2004,6945540
NJ,2005,7032200
NJ,2006,7065320
NJ,2007,7033700
NJ,2008,6952360
NJ,2009,6909920
NJ,2010,6931800
NJ,2011,6899580
NJ,2012,6882600
NJ,2013,7231780
NJ,2014,7328660
NJ,2015,7404540
NJ,2016,7535600
NJ,2017,7584360
NJ,2018,7612660
NM,2003,1480460
NM,2004,1480520
NM,2005,1500280
NM,2006,1512900
NM,2007,1501280
NM,2008,1486960
NM,2009,1497420
NM,2010,1509880
NM,2011,1513080
NM,2012,1510920
NM,2013,1605320
NM,2014,1627000
NM,2015,1646320
NM,2016,1666360
NM,2017,1668820
NM,2018,1668880
