state,year,per_capita_student_debt
AK,2003,680
AK,2004,1730
AK,2005,1910
AK,2006,2250
AK,2007,2340
AK,2008,2530
AK,2009,2850
AK,2010,3140
AK,2011,3390
AK,2012,3680
AK,2013,3630
AK,2014,3640
AK,2015,3610
AK,2016,3660
AK,2017,3740
AK,2018,4030
AL,2003,880
AL,2004,1090
AL,2005,1240
AL,2006,1490
AL,2007,1770
AL,2008,2160
AL,2009,2470
AL,2010,2790
AL,2011,2990
AL,2012,3370
AL,2013,3620
AL,2014,3980
AL,2015,4180
AL,2016,4390
AL,2017,4610
AL,2018,4920
AR,2003,710
AR,2004,1010
AR,2005,1160
AR,2006,1460
AR,2007,1690
AR,2008,1990
AR,2009,2260
AR,2010,2620
AR,2011,2840
AR,2012,3190
AR,2013,3440
AR,2014,3720
AR,2015,3830
AR,2016,4100
AR,2017,4170
AR,2018,4330
AZ,2003,1080
AZ,2004,1520
AZ,2005,1670
AZ,2006,1930
AZ,2007,2170
AZ,2008,2500
AZ,2009,2890
AZ,2010,3220
AZ,2011,3420
AZ,2012,3890
AZ,2013,4030
AZ,2014,4310
AZ,2015,4470
AZ,2016,4690
AZ,2017,4890
AZ,2018,5170
CA,2003,970
CA,2004,1340
CA,2005,1480
CA,2006,1780
CA,2007,2000
CA,2008,2350
CA,2009,2650
CA,2010,2960
CA,2011,3140
CA,2012,3510
CA,2013,3720
CA,2014,3890
CA,2015,4010
CA,2016,4190
CA,2017,4330
CA,2018,4530
CO,2003,1380
CO,2004,1790
CO,2005,1930
CO,2006,2290
CO,2007,2520
CO,2008,3240
CO,2009,3630
CO,2010,4000
CO,2011,4280
CO,2012,4720
CO,2013,4910
CO,2014,5150
CO,2015,5300
CO,2016,5630
CO,2017,5840
CO,2018,6180
CT,2003,1010
CT,2004,1550
CT,2005,1770
CT,2006,2210
CT,2007,2500
CT,2008,2950
CT,2009,3250
CT,2010,3660
CT,2011,3890
CT,2012,4170
CT,2013,4600
CT,2014,4760
CT,2015,5060
CT,2016,5470
CT,2017,5660
CT,2018,5890
DC,2003,3120
DC,2004,4350
DC,2005,4560
DC,2006,5900
DC,2007,6430
DC,2008,7420
DC,2009,7920
DC,2010,8700
DC,2011,9640
DC,2012,10670
DC,2013,10880
DC,2014,11260
DC,2015,11780
DC,2016,12200
DC,2017,12380
DC,2018,13320
DE,2003,990
DE,2004,1350
DE,2005,1460
DE,2006,1920
DE,2007,2200
DE,2008,2570
DE,2009,2900
DE,2010,3340
DE,2011,3630
DE,2012,4090
DE,2013,4370
DE,2014,4600
DE,2015,4880
DE,2016,5290
DE,2017,5590
DE,2018,6040
FL,2003,840
FL,2004,1150
FL,2005,1320
FL,2006,1580
FL,2007,1840
FL,2008,2260
FL,2009,2590
FL,2010,2940
FL,2011,3210
FL,2012,3630
FL,2013,3840
FL,2014,4090
FL,2015,4220
FL,2016,4480
FL,2017,4690
FL,2018,4940
GA,2003,1110
GA,2004,1440
GA,2005,1670
GA,2006,2060
GA,2007,2410
GA,2008,2900
GA,2009,3330
GA,2010,3830
GA,2011,4210
GA,2012,4770
GA,2013,5140
GA,2014,5640
GA,2015,5870
GA,2016,6340
GA,2017,6750
GA,2018,7250
HI,2003,730
HI,2004,960
HI,2005,1090
HI,2006,1360
HI,2007,1500
HI,2008,1800
HI,2009,2020
HI,2010,2270
HI,2011,2350
HI,2012,2690
HI,2013,2920
HI,2014,3010
HI,2015,3150
HI,2016,3240
HI,2017,3530
HI,2018,3780
IA,2003,1500
IA,2004,1830
IA,2005,2040
IA,2006,2400
IA,2007,2760
IA,2008,3260
IA,2009,3570
IA,2010,3880
IA,2011,4170
IA,2012,4490
IA,2013,4710
IA,2014,4810
IA,2015,4900
IA,2016,5120
IA,2017,5150
IA,2018,5300
ID,2003,1240
ID,2004,1450
ID,2005,1680
ID,2006,2020
ID,2007,2170
ID,2008,2400
ID,2009,2840
ID,2010,3160
ID,2011,3340
ID,2012,3920
ID,2013,4260
ID,2014,4360
ID,2015,4560
ID,2016,4690
ID,2017,4720
ID,2018,5050
IL,2003,1150
IL,2004,1570
IL,2005,1750
IL,2006,2200
IL,2007,2520
IL,2008,2950
IL,2009,3310
IL,2010,3720
IL,2011,4030
IL,2012,4400
IL,2013,4700
IL,2014,4950
IL,2015,5100
IL,2016,5400
IL,2017,5590
IL,2018,5800
IN,2003,950
IN,2004,1300
IN,2005,1480
IN,2006,1830
IN,2007,2120
IN,2008,2680
IN,2009,3030
IN,2010,3490
IN,2011,3790
IN,2012,4070
IN,2013,4300
IN,2014,4540
IN,2015,4700
IN,2016,4900
IN,2017,5060
IN,2018,5300
KS,2003,1140
KS,2004,1630
KS,2005,1840
KS,2006,2160
KS,2007,2490
KS,2008,3060
KS,2009,3320
KS,2010,3630
KS,2011,3920
KS,2012,4380
KS,2013,4540
KS,2014,4840
